Dane sygna³u
czêstotliwoœæ próbkowania = (60*15) Hz
R,G,B
162.61,135.01,124.26
161.37,131.78,121.51
160.67,131.02,120.73
162.29,131.89,122.47
165.73,134.77,124.9
169.39,138.07,128.5
171.47,140.1,130.07
172.48,141.18,131.17
173.55,142.26,132.32
174.14,142.84,133.13
174.06,143.02,132.94
173.82,142.68,132.76
173.44,142.71,132.39
173.38,142.78,132.22
173.6,142.42,132.39
173.64,142.19,132.22
173.34,141.86,131.93
172.85,141.24,131.43
172.23,141,130.96
172.01,140.75,130.97
171.77,141.01,130.64
172.1,141.09,130.83
172.13,141.49,131.42
172.29,141.75,131.06
172.31,141.86,131.52
172.33,142.07,131.43
172.36,142.01,131.42
172.19,141.44,131.25
171.99,141.01,130.93
171.69,140.84,130.08
171.32,140.42,130.13
